Date,Open,High,Low,Close,Adj Close,Volume
2019-06-17,48.224998,50.212502,48.042500,49.695000,48.025562,526635600
2019-06-24,49.634998,50.392502,48.822498,49.480000,47.817783,469474000
2019-07-01,50.792500,51.270000,50.162498,51.057499,49.342270,291262800
2019-07-08,50.202499,51.097500,49.602501,50.825001,49.117592,406402800
2019-07-15,51.022499,51.625000,50.590000,50.647499,48.946053,349566400
2019-07-22,50.912498,52.432499,50.902500,51.935001,50.190304,348612800
2019-07-29,52.115002,55.342499,50.407501,51.005001,49.291550,879082000
2019-08-05,49.497501,50.882500,48.145000,50.247501,48.559486,692845600
2019-08-12,49.904999,53.035000,49.787498,51.625000,50.080280,644382400
2019-08-19,52.654999,53.610001,50.250000,50.660000,49.144146,567620000
2019-08-26,51.465000,52.612499,50.830002,52.185001,50.623528,439958400
2019-09-02,51.607498,53.605000,51.055000,53.314999,51.719707,329948400
2019-09-09,53.709999,56.605000,52.767502,54.687500,53.051144,701467600
2019-09-16,54.432499,55.939999,54.367500,54.432499,52.803768,569162000
2019-09-23,54.737499,55.622501,54.285000,54.705002,53.068127,465780800
2019-09-30,55.224998,57.055000,53.782501,56.752499,55.054356,634486800
2019-10-07,56.567501,59.410000,56.082500,59.052502,57.285534,588705600
2019-10-14,58.724998,59.532501,58.299999,59.102501,57.334042,422709600
2019-10-21,59.380001,61.682499,59.330002,61.645000,59.800465,388122000
2019-10-28,61.855000,63.982498,59.314999,63.955002,62.041336,654221600
2019-11-04,64.332497,65.110001,63.842499,65.035004,63.089027,423960800
2019-11-11,64.574997,66.445000,64.570000,66.440002,64.645485,461333600
2019-11-18,66.449997,67.000000,65.099998,65.445000,63.677353,455825200
2019-11-25,65.677498,67.000000,65.625000,66.812500,65.007912,301081200
2019-12-02,66.817497,67.750000,64.072502,67.677498,65.849571,456599200
2019-12-09,67.500000,68.824997,66.227501,68.787498,66.929596,568117600
2019-12-16,69.250000,70.662498,69.245003,69.860001,67.973122,732720000
2019-12-23,70.132500,73.492500,70.092499,72.449997,70.493141,386438000
2019-12-30,72.364998,75.150002,71.305000,74.357498,72.349167,526723200
2020-01-06,73.447502,78.167503,73.187500,77.582497,75.487038,670091600
2020-01-13,77.910004,79.684998,77.387497,79.682503,77.530319,652055600
2020-01-20,79.297501,80.832497,78.912498,79.577499,77.428162,463685200
2020-01-27,77.514999,81.962502,76.220001,77.377502,75.287575,866734800
2020-02-03,76.074997,81.305000,75.555000,80.007500,77.846542,652341200
2020-02-10,78.544998,81.805000,78.462502,81.237503,79.230919,492263600
2020-02-17,78.839996,81.162498,77.625000,78.262497,76.329384,476635200
2020-02-24,74.315002,76.044998,64.092499,68.339996,66.651978,1398039200
2020-03-02,70.570000,76.000000,69.430000,72.257500,70.472717,1293800800
2020-03-09,65.937500,71.610001,62.000000,69.492500,67.776016,1616839600
2020-03-16,60.487499,64.769997,57.000000,57.310001,55.894428,1620263600
2020-03-23,57.020000,64.669998,53.152500,61.935001,60.405190,1384190000
2020-03-30,62.685001,65.622498,59.224998,60.352501,58.861774,837010800
2020-04-06,62.724998,67.925003,62.345001,66.997498,65.342628,735437600
